UKPMSSection,SectionDescription,XSP,Offset,RoadType,Start,End,Overall-CI,RCI-BIN,RCI-X-BIN,SectionDescriptionRoad,SectionDescriptionArea,RCI-BIN-Code,RCI-X-BIN-Code
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,0.00,4.06,43.83,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,0.00,0.24,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,0.24,10.33,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,4.06,14.13,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,10.33,20.43,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,14.13,24.19,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,20.43,30.53,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,24.19,34.26,5.38,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,30.53,40.63,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,34.26,44.32,4.93,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,40.63,50.73,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,44.32,54.39,28.89,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,50.73,60.83,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,54.39,64.45,3.02,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,60.83,70.93,38.88,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,64.45,74.52,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,70.93,81.03,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,74.52,84.58,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,81.03,91.12,4.72,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,84.58,94.65,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,91.12,101.22,4.77,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,94.65,104.71,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,101.22,111.32,39.23,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,104.71,114.78,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,111.32,121.42,76.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,114.78,124.84,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,121.42,131.52,58.99,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,124.84,134.91,49.22,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,131.52,141.62,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,134.91,144.97,54.93,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,141.62,151.72,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,144.97,155.04,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,151.72,161.81,11.35,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,155.04,165.10,32.45,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,161.81,171.91,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,165.10,175.17,28.01,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,171.91,182.01,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,175.17,185.23,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,182.01,192.11,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,185.23,195.30,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,192.11,202.21,26.04,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,195.30,205.36,12.12,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,202.21,212.31,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,205.36,215.43,57.22,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,212.31,222.41,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,215.43,225.49,80.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,222.41,232.50,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,225.49,235.56,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,232.50,242.60,80.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,235.56,245.62,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,242.60,252.70,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,245.62,255.69,26.97,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,252.70,262.80,10.54,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,255.69,265.75,5.73,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,262.80,272.90,70.15,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,265.75,275.82,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,272.90,283.00,58.33,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,275.82,285.88,31.85,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,283.00,293.10,76.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,285.88,295.95,3.82,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,293.10,303.20,130.27,"RED: Plan maintenance soon","RED: Plan maintenance soon","HIGH STREET                 ",NEWBURN,RED,RED
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,295.95,306.01,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,303.20,313.29,11.67,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,306.01,316.08,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,313.29,323.39,63.80,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,316.08,326.14,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,323.39,333.49,67.66,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,326.14,336.21,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,333.49,343.59,42.12,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,336.21,346.27,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,343.59,353.69,65.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,346.27,356.34,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,353.69,363.79,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,356.34,366.40,27.04,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,363.79,373.89,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,366.40,376.47,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,373.89,383.98,1.60,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,376.47,386.53,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,383.98,394.08,14.59,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,386.53,396.60,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,394.08,404.18,33.92,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,396.60,406.66,6.40,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,404.18,414.28,78.53,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,406.66,416.73,84.32,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,414.28,424.38,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,416.73,426.79,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,424.38,434.48,42.22,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,426.79,436.86,36.74,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,434.48,444.58,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,436.86,446.92,88.11,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,444.58,454.67,14.59,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,446.92,456.99,65.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,454.67,464.77,43.85,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,456.99,467.05,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,464.77,474.87,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,467.05,477.12,52.39,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,474.87,484.97,3.39,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,477.12,487.18,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,484.97,495.07,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,487.18,497.25,6.94,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,495.07,505.17,24.67,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,497.25,507.31,63.33,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,505.17,515.27,34.13,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,507.31,517.38,77.01,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,515.27,525.37,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,517.38,527.44,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,525.37,535.46,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,527.44,537.51,24.32,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,535.46,545.56,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,537.51,547.57,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,545.56,555.66,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,547.57,557.64,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,555.66,565.76,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,557.64,567.70,25.42,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,565.76,575.86,97.30,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,567.70,577.77,76.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,575.86,585.96,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,577.77,587.83,81.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,585.96,596.06,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,587.83,597.90,29.37,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,596.06,606.15,36.79,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,597.90,607.96,71.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,606.15,616.25,66.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,607.96,618.02,31.01,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,616.25,626.35,66.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,618.02,630.00,96.67,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,626.35,630.00,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CL1,10,,0.00,0.41,11.67,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CR1,-10,,0.00,7.52,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CL1,10,,0.41,10.43,13.33,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CR1,-10,,7.52,17.60,20.13,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CL1,10,,10.43,20.46,70.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","LEMINGTON ROAD              ",LEMINGTON,AMBER,AMBER
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CR1,-10,,17.60,27.68,21.47,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CL1,10,,20.46,30.48,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CR1,-10,,27.68,37.76,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CL1,10,,30.48,40.51,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CR1,-10,,37.76,47.84,52.72,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","LEMINGTON ROAD              ",LEMINGTON,AMBER,AMBER
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CL1,10,,40.51,50.54,11.00,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CR1,-10,,47.84,57.92,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","LEMINGTON ROAD              ",LEMINGTON,AMBER,AMBER
014/03505/005,"LEMINGTON ROAD                  LEMINGTON",CL1,10,,50.54,60.56,35.47,"GREEN: Generally good condition","GREEN: Generally good condition","LEMINGTON ROAD              ",LEMINGTON,GREEN,GREEN
